N,Layout,Algorithm,Type,Repetition_ID,Run_Type,Perf_IPC,Perf_L1-dcache-load-misses,Perf_branch-misses,Perf_branches,Perf_cycles,Perf_dTLB-load-misses,Perf_instructions,Perf_task-clock,Gprof_Runtime_Mean_s,Gprof_Runtime_s
64000,array,merge,int,1,Individual,2.3731468771344377,64744.0,506792.0,506792.0,46282684.0,533.0,109835607.0,11041056.0,,0.012685537338256836
64000,array,merge,int,2,Individual,2.323696596252181,64978.0,520576.0,520576.0,47243688.0,484.0,109779997.0,11218769.0,,0.013215303421020508
64000,array,merge,int,3,Individual,2.3119091011271284,88726.0,494693.0,494693.0,47927723.0,433.0,110804539.0,12200009.0,,0.012362957000732422
64000,array,merge,int,4,Individual,2.429044105929708,82563.0,501299.0,501299.0,44177824.0,402.0,107309883.0,12346975.0,,0.011974096298217773
64000,array,merge,int,5,Individual,2.6295781684308945,62117.0,496704.0,496704.0,44608942.0,451.0,117302700.0,11541714.0,,0.012589454650878906
64000,array,merge,int,AVG,Mean,2.41347496977487,72625.6,504012.8,504012.8,46048172.2,460.6,111006545.2,11669704.6,0.01256546974182129,
64000,array,merge,double,1,Individual,2.4058867014841643,223039.0,582455.0,582455.0,74385970.0,1069.0,178964216.0,18399796.0,,0.01744842529296875
64000,array,merge,double,2,Individual,2.4096043036730426,236746.0,558537.0,558537.0,71111350.0,833.0,171350215.0,17716935.0,,0.01817464828491211
64000,array,merge,double,3,Individual,2.291961359549433,211387.0,555980.0,555980.0,74155450.0,1094.0,169961426.0,19005110.0,,0.01852893829345703
64000,array,merge,double,4,Individual,2.4288609464346913,186680.0,562135.0,562135.0,72853141.0,970.0,176950149.0,17896291.0,,0.01885223388671875
64000,array,merge,double,5,Individual,2.496099847338417,274706.0,564462.0,564462.0,70897994.0,901.0,176968472.0,16868956.0,,0.018398046493530273
64000,array,merge,double,AVG,Mean,2.40648263169595,226511.6,564713.8,564713.8,72680781.0,973.4,174838895.6,17977417.6,0.018280458450317384,
64000,list,insertion,int,1,Individual,0.3525656115394775,1008030948.0,88792.0,88792.0,40846472074.0,5001.0,14401061406.0,8927528380.0,,8.886008024215698
64000,list,insertion,int,2,Individual,0.3505515859645154,1007572560.0,87935.0,87935.0,41087522903.0,5981.0,14403296317.0,8942988908.0,,8.844901323318481
64000,list,insertion,int,3,Individual,0.35108160258225907,1008032527.0,88412.0,88412.0,41032456355.0,4069.0,14405740535.0,8927267706.0,,8.93934965133667
64000,list,insertion,int,4,Individual,0.35007140282752625,1007699407.0,89625.0,89625.0,41127766949.0,6610.0,14397655071.0,9007894065.0,,9.186037302017212
64000,list,insertion,int,5,Individual,0.34844890634100056,1007870401.0,89112.0,89112.0,41331767510.0,5278.0,14402009186.0,9202549970.0,,8.960654735565186
64000,list,insertion,int,AVG,Mean,0.35054382185095573,1007841168.6,88775.2,88775.2,41085197158.2,5387.8,14401952503.0,9001645805.8,8.963390207290649,
64000,list,insertion,double,1,Individual,0.35097450911581557,1009184619.0,166198.0,166198.0,41265981454.0,9168.0,14483307584.0,9136214325.0,,9.0114586353302
64000,list,insertion,double,2,Individual,0.3507498717864766,1011086745.0,157335.0,157335.0,41300820765.0,4136.0,14486257588.0,8995682146.0,,8.896072387695312
64000,list,insertion,double,3,Individual,0.34993219389442776,1008780863.0,160528.0,160528.0,41389078112.0,7681.0,14483370907.0,9022600746.0,,8.95833706855774
